                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0247,                0.47974,                 1.4289,                0.97644,                0.95732,                0.98115,                0.69899,                 1.1176,                0.39018,                 1.5685,               0.007195,               0.007195,               0.007195
                     87,                 1.0296,                0.48479,                 1.4317,                0.97657,                0.95778,                0.98133,                0.69841,                 1.1175,                0.39019,                 1.5684,               0.007162,               0.007162,               0.007162
                     88,                 1.0249,                0.47863,                 1.4319,                0.97933,                0.95562,                0.98133,                0.69865,                 1.1172,                0.38974,                 1.5681,               0.007129,               0.007129,               0.007129
                     89,                  1.026,                0.47679,                 1.4289,                0.97915,                0.95544,                0.98144,                0.69803,                  1.117,                0.38923,                 1.5677,               0.007096,               0.007096,               0.007096
                     90,                 1.0255,                0.47828,                 1.4253,                0.97842,                0.95692,                0.98174,                0.69789,                 1.1167,                  0.389,                 1.5675,               0.007063,               0.007063,               0.007063
                     91,                 1.0177,                0.47488,                 1.4232,                0.97724,                0.95779,                 0.9818,                0.69832,                 1.1164,                0.38857,                 1.5673,                0.00703,                0.00703,                0.00703
                     92,                   1.02,                 0.4769,                 1.4224,                0.97711,                0.95779,                0.98198,                0.69787,                 1.1165,                  0.388,                 1.5673,               0.006997,               0.006997,               0.006997
                     93,                 1.0182,                0.47585,                 1.4235,                0.97732,                0.95779,                0.98199,                 0.6987,                 1.1161,                0.38704,                 1.5667,               0.006964,               0.006964,               0.006964
                     94,                 1.0167,                 0.4747,                 1.4241,                0.97713,                0.95779,                 0.9821,                0.69883,                 1.1153,                0.38657,                 1.5664,               0.006931,               0.006931,               0.006931
                     95,                  1.016,                0.47578,                 1.4226,                0.97705,                0.95844,                0.98218,                0.70071,                 1.1143,                0.38636,                 1.5657,               0.006898,               0.006898,               0.006898
                     96,                 1.0154,                0.47319,                 1.4227,                0.97704,                0.95824,                0.98225,                0.70053,                 1.1133,                0.38597,                  1.565,               0.006865,               0.006865,               0.006865
                     97,                 1.0108,                0.47086,                 1.4145,                0.97631,                0.95919,                0.98234,                0.70041,                 1.1128,                0.38562,                 1.5647,               0.006832,               0.006832,               0.006832
                     98,                 1.0196,                0.47321,                 1.4213,                0.97664,                0.95919,                0.98242,                0.70092,                 1.1126,                0.38485,                  1.564,               0.006799,               0.006799,               0.006799
                     99,                 1.0136,                0.46918,                 1.4087,                0.97643,                0.95826,                0.98238,                0.70073,                  1.112,                0.38456,                 1.5629,               0.006766,               0.006766,               0.006766
                    100,                  1.015,                0.47118,                  1.413,                0.97613,                0.95916,                0.98241,                0.70061,                 1.1111,                0.38461,                 1.5621,               0.006733,               0.006733,               0.006733
                    101,                 1.0109,                0.46989,                 1.4138,                0.97586,                0.95919,                0.98256,                0.70137,                 1.1105,                0.38394,                 1.5615,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.008,                0.46732,                   1.41,                0.97611,                 0.9581,                0.98236,                0.70133,                 1.1104,                0.38278,                 1.5611,               0.006667,               0.006667,               0.006667
                    103,                 1.0077,                0.47011,                 1.4071,                0.97611,                0.95802,                0.98256,                0.70099,                 1.1102,                  0.383,                  1.561,               0.006634,               0.006634,               0.006634
                    104,                 1.0078,                0.46761,                 1.4073,                0.97585,                0.95872,                0.98265,                0.70152,                 1.1101,                0.38283,                 1.5608,               0.006601,               0.006601,               0.006601
                    105,                  1.007,                0.46506,                 1.4109,                 0.9767,                0.95966,                0.98286,                0.70136,                 1.1096,                0.38233,                 1.5606,               0.006568,               0.006568,               0.006568
                    106,                 1.0062,                0.46957,                 1.4087,                0.97616,                0.96008,                0.98275,                 0.7018,                 1.1092,                0.38217,                 1.5601,               0.006535,               0.006535,               0.006535
                    107,                 1.0063,                0.46589,                 1.4074,                0.97662,                0.96006,                0.98284,                0.70206,                 1.1089,                0.38169,                 1.5598,               0.006502,               0.006502,               0.006502
                    108,                 1.0041,                0.46594,                 1.4101,                0.97662,                0.96001,                0.98267,                0.70174,                 1.1084,                 0.3814,                 1.5596,               0.006469,               0.006469,               0.006469
                    109,                 1.0001,                0.46409,                 1.4074,                0.97708,                 0.9597,                0.98289,                0.70132,                  1.108,                0.38094,                 1.5595,               0.006436,               0.006436,               0.006436
                    110,                0.99725,                 0.4611,                 1.4009,                0.97765,                0.95966,                0.98308,                0.70154,                 1.1075,                0.38062,                 1.5594,               0.006403,               0.006403,               0.006403
